id       ;   1                      ;  2                                 ;  3                                          ;  4                                  ;  5
name     ; Welcome                  ; FirstChallenge                     ; x                                           ; y                                   ; z
heroPos  ; 200 400                  ; 200 625                            ; 240 753                                     ; 490 0                               ; 200 300
toGo     ; 200 400                  ; 200 625                            ; 240 753                                     ; 490 0                               ; 200 300
N of lad ; 1                        ; 1                                  ; 3                                           ; 2                                   ; 1
ladderX1 ; 480                      ; 0                                  ; 480  960  1240                              ; 540  1390                           ; 0
ladderY1 ; 270                      ; 200                                ; 753  502  502                               ; 452  450                            ; 400
ladderX2 ; 580                      ; 100                                ; 580  1060  1340                             ; 640  1500                           ; 100
ladderY2 ; 760                      ; 880                                ; 880  753  753                               ; 805  691                            ; 1000
N of blo ; 5                        ; 6                                  ; 8                                           ; 7                                   ; 7
block X1 ; 0  480  960  960  480    ; 0  0  0  840  470  1600            ; 0  480  960  1340  1340  1440  1580  480    ; 426  106  0  0  960  1340  1560     ; 0  0  0  960  480  480  1440
block Y1 ; 845  760  675  405  270  ; 200  525  880  525  457  800       ; 880  753  502  376  753  83  167  251       ; 226  452  678  805  691  458  678   ; 156  442  678  176  300  565  452
block X2 ; 480  960  1920  1920  960; 1280  320  320  1160  690  1920    ; 480  960  1340  1920  1920  1540  1920  1340; 532  640  106  960  1540  1960  1820; 480  480  480  1440  960  960  1920
block Y2 ; 855  770  685  415  280  ; 220  545  905  545  477  820       ; 905  773  522  396  773  103  187  271      ; 246  472  698  825  711  478  695   ; 176  462  698  196  320  585  472
backgrou ; firstsplash              ; splash                             ; spl                                         ; sp                                  ; spla
door     ; 1690 100 1860 405        ; 1700 500 1870 800                  ; 1720 70 1890 376                            ; 1700 175 1870 458                   ; 1700 152 1870 452
N of mob ; 1                        ; 2                                  ; 3                                           ; 4                                   ; 5
mobX1    ; 1000                     ; 20  500                            ; 480  960  480  1340                         ; 106  960  1340  306                 ; 480  0  960  0  480
mobY1    ; 250                      ; 5  430                             ; 700  376  167  251                          ; 300  500  308  300                  ; 200  578  100  100  500
mobX2    ; 1200                     ; 220  600                           ; 580  1060  580  1440                        ; 256  1110  1500  456                ; 580  100  1060  100  580
mobY2    ; 405                      ; 220  480                           ; 753  502  251  376                          ; 452  691  458  452                  ; 300  678  200  156  565
spX      ; 1600                     ; 700  720                           ; 960  1340  1340  1720                       ; 640  1440  1600  640                ; 960  480  1440  480  960
N of ruby; 1                        ; 1                                  ; 2                                           ; 2                                   ; 2
rubyX1   ; 1500                     ; 900                                ; 500  1400                                   ; 5  1600                             ; 200  500
rubyY1   ; 500                      ; 337                                ; 151  653                                    ; 538  550                            ; 578  450
rubyX2   ; 1700                     ; 1100                               ; 600  1500                                   ; 108  1757                           ; 357  657
rubyY2   ; 675                      ; 525                                ; 251  753                                    ; 700  678                            ; 678  565
